,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,WHH,WHD,WHA,H_ATT,H_MID,H_DEF,H_OVR,A_ATT,A_MID,A_DEF,A_OVR
0,2008/2009,16/08/08,Arsenal,West Brom,1.0,0.0,H,1.0,0.0,H,H Webb,24.0,5.0,14.0,4.0,11.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,1.17,5.5,12.0,85.0,83.0,83.0,81.0,68.0,71.0,69.0,71.0
1,2008/2009,16/08/08,Bolton,Stoke,3.0,1.0,H,3.0,0.0,H,C Foy,14.0,8.0,8.0,2.0,13.0,12.0,4.0,3.0,1.0,2.0,0.0,0.0,1.8,3.1,4.0,75.0,75.0,72.0,74.0,75.0,68.0,67.0,70.0
2,2008/2009,16/08/08,Everton,Blackburn,2.0,3.0,A,1.0,1.0,D,A Marriner,10.0,15.0,5.0,11.0,11.0,9.0,3.0,5.0,2.0,2.0,0.0,0.0,1.95,3.1,3.5,82.0,75.0,78.0,78.0,78.0,76.0,76.0,76.0
3,2008/2009,16/08/08,Hull,Fulham,2.0,1.0,H,1.0,1.0,D,P Walton,11.0,12.0,6.0,6.0,10.0,9.0,5.0,6.0,3.0,0.0,0.0,0.0,2.5,2.9,2.62,70.0,68.0,68.0,71.0,80.0,74.0,72.0,74.0
4,2008/2009,16/08/08,Middlesbrough,Tottenham,2.0,1.0,H,0.0,0.0,D,M Atkinson,14.0,8.0,10.0,5.0,11.0,12.0,7.0,9.0,1.0,2.0,0.0,0.0,2.9,3.2,2.15,80.0,75.0,73.0,74.0,80.0,80.0,79.0,79.0
5,2008/2009,16/08/08,Sunderland,Liverpool,0.0,1.0,A,0.0,0.0,D,A Wiley,6.0,14.0,3.0,8.0,13.0,12.0,1.0,8.0,0.0,2.0,0.0,0.0,5.5,3.3,1.57,78.0,74.0,72.0,75.0,85.0,83.0,80.0,81.0
6,2008/2009,16/08/08,West Ham,Wigan,2.0,1.0,H,2.0,0.0,H,S Bennett,15.0,22.0,8.0,9.0,14.0,11.0,6.0,10.0,2.0,1.0,0.0,0.0,1.83,3.2,3.75,76.0,76.0,76.0,76.0,75.0,74.0,71.0,73.0
7,2008/2009,17/08/08,Aston Villa,Man City,4.0,2.0,H,0.0,0.0,D,P Dowd,14.0,13.0,10.0,8.0,8.0,11.0,7.0,8.0,0.0,1.0,0.0,0.0,1.91,3.2,3.5,81.0,81.0,77.0,78.0,82.0,79.0,78.0,79.0
8,2008/2009,17/08/08,Chelsea,Portsmouth,4.0,0.0,H,3.0,0.0,H,M Dean,18.0,12.0,11.0,8.0,10.0,6.0,8.0,3.0,0.0,1.0,0.0,0.0,1.3,4.2,8.5,87.0,85.0,84.0,84.0,78.0,79.0,76.0,76.0
9,2008/2009,17/08/08,Man United,Newcastle,1.0,1.0,D,1.0,1.0,D,M Riley,18.0,11.0,12.0,4.0,15.0,11.0,6.0,6.0,3.0,0.0,0.0,0.0,1.25,4.5,10.0,86.0,85.0,84.0,84.0,81.0,76.0,76.0,76.0
10,2008/2009,23/08/08,Blackburn,Hull,1.0,1.0,D,1.0,1.0,D,S Attwell,12.0,7.0,5.0,4.0,11.0,15.0,6.0,3.0,0.0,1.0,0.0,0.0,1.57,3.8,6.0,78.0,76.0,76.0,76.0,70.0,68.0,68.0,71.0
11,2008/2009,23/08/08,Fulham,Arsenal,1.0,0.0,H,1.0,0.0,H,M Atkinson,5.0,15.0,2.0,6.0,14.0,6.0,1.0,5.0,2.0,0.0,0.0,0.0,6.0,3.8,1.57,80.0,74.0,72.0,74.0,85.0,83.0,83.0,81.0
12,2008/2009,23/08/08,Liverpool,Middlesbrough,2.0,1.0,H,0.0,0.0,D,M Riley,16.0,9.0,8.0,4.0,10.0,12.0,14.0,3.0,2.0,1.0,0.0,0.0,1.36,4.5,9.5,85.0,83.0,80.0,81.0,80.0,75.0,73.0,74.0
13,2008/2009,23/08/08,Newcastle,Bolton,1.0,0.0,H,0.0,0.0,D,S Bennett,10.0,9.0,8.0,4.0,8.0,13.0,4.0,6.0,1.0,2.0,0.0,0.0,1.83,3.4,4.5,81.0,76.0,76.0,76.0,75.0,75.0,72.0,74.0
14,2008/2009,23/08/08,Stoke,Aston Villa,3.0,2.0,H,1.0,0.0,H,M Halsey,8.0,5.0,2.0,2.0,15.0,5.0,2.0,8.0,1.0,0.0,0.0,0.0,5.0,3.6,1.7,75.0,68.0,67.0,70.0,81.0,81.0,77.0,78.0
15,2008/2009,23/08/08,Tottenham,Sunderland,1.0,2.0,A,0.0,0.0,D,M Dean,18.0,12.0,11.0,7.0,12.0,12.0,12.0,6.0,1.0,2.0,0.0,0.0,1.44,4.2,7.5,80.0,80.0,79.0,79.0,78.0,74.0,72.0,75.0
16,2008/2009,23/08/08,West Brom,Everton,1.0,2.0,A,0.0,0.0,D,R Styles,14.0,9.0,4.0,7.0,11.0,14.0,11.0,5.0,3.0,1.0,0.0,0.0,2.62,3.3,2.62,68.0,71.0,69.0,71.0,82.0,75.0,78.0,78.0
17,2008/2009,24/08/08,Man City,West Ham,3.0,0.0,H,0.0,0.0,D,H Webb,14.0,3.0,9.0,0.0,12.0,16.0,6.0,3.0,0.0,2.0,0.0,1.0,2.25,3.3,3.2,82.0,79.0,78.0,79.0,76.0,76.0,76.0,76.0
18,2008/2009,24/08/08,Wigan,Chelsea,0.0,1.0,A,0.0,1.0,A,A Wiley,10.0,7.0,6.0,3.0,13.0,17.0,7.0,7.0,1.0,2.0,0.0,0.0,8.5,4.33,1.4,75.0,74.0,71.0,73.0,87.0,85.0,84.0,84.0
19,2008/2009,25/08/08,Portsmouth,Man United,0.0,1.0,A,0.0,1.0,A,C Foy,13.0,12.0,6.0,7.0,11.0,11.0,4.0,3.0,2.0,2.0,0.0,0.0,4.8,3.3,1.8,78.0,79.0,76.0,76.0,86.0,85.0,84.0,84.0
